X,Y,archetype,parid,struct_typ,year_built,no_stories,a_stories,b_stories,bsmt_type,sq_foot,gsq_foot,occ_type,occ_detail,major_occ,broad_occ,repl_cst,str_cst,nstra_cst,nstrd_cst,dgn_lvl,cont_val,efacility,dwell_unit,str_typ2,occ_typ2,guid,strctid,appr_bldg,appr_land,appr_tot,layer,path
-94.5282394721245,37.0651714391093,"6",P00019501520030008000,,,,,,,,"5242",RES1,,,,,,,,,,,"1",,,ce7db703-eeff-40d5-bf27-3f2f6b462341,S0003287,,,,Selected features,"Point?crs=EPSG:4326&field=archetype:long(10,0)&field=parid:string(25,0)&field=struct_typ:string(8,0)&field=year_built:integer(4,0)&field=no_stories:integer(4,0)&field=a_stories:integer(4,0)&field=b_stories:integer(4,0)&field=bsmt_type:string(15,0)&field="
-94.5221101182319,37.0633662436521,"6",P00019501510039005000,,"1968",,,,,,"1607",,,,,,,,,,,,"0",,,4daa5aad-89ee-44ac-9bf6-505eef74b0be,S0003237,24800,32950,57750,Selected features,"Point?crs=EPSG:4326&field=archetype:long(10,0)&field=parid:string(25,0)&field=struct_typ:string(8,0)&field=year_built:integer(4,0)&field=no_stories:integer(4,0)&field=a_stories:integer(4,0)&field=b_stories:integer(4,0)&field=bsmt_type:string(15,0)&field="
-94.5328475925782,37.0588198745394,"6",P00019501640001101000,,"1977",,,,,,"11316",,,,,,,,,,,,"0",,,5c39bc92-5b8e-4b7f-aa75-e3a72d346965,S0028075,283940,99900,383840,Selected features,"Point?crs=EPSG:4326&field=archetype:long(10,0)&field=parid:string(25,0)&field=struct_typ:string(8,0)&field=year_built:integer(4,0)&field=no_stories:integer(4,0)&field=a_stories:integer(4,0)&field=b_stories:integer(4,0)&field=bsmt_type:string(15,0)&field="
-94.4732421140909,37.067391341333,"7",P00020401800000014000,,"1956",,,,,,"1958",,,,,,,,,,,,"0",,,19c58735-f7a9-4d70-a9fc-e801ab09c590,S0026739,388230,378930,767160,Selected features,"Point?crs=EPSG:4326&field=archetype:long(10,0)&field=parid:string(25,0)&field=struct_typ:string(8,0)&field=year_built:integer(4,0)&field=no_stories:integer(4,0)&field=a_stories:integer(4,0)&field=b_stories:integer(4,0)&field=bsmt_type:string(15,0)&field="
-94.5146165424894,37.0667993926503,"6",P00019501510020014000,,"1965",,,,,,"2620",,,,,,,,,,,,"0",,,2f903869-6d7d-4309-9ec6-b578137b39f8,S0002564,8500,43000,51500,Selected features,"Point?crs=EPSG:4326&field=archetype:long(10,0)&field=parid:string(25,0)&field=struct_typ:string(8,0)&field=year_built:integer(4,0)&field=no_stories:integer(4,0)&field=a_stories:integer(4,0)&field=b_stories:integer(4,0)&field=bsmt_type:string(15,0)&field="
-94.4963449974136,37.0697176551812,"6",P00019101140025022000,,"1992",,,,,,"6318",,,,,,,,,,,,"0",,,7e2fe540-a21b-42e8-b385-ef6d4d1dbe1a,S0013295,219910,36080,255990,Selected features,"Point?crs=EPSG:4326&field=archetype:long(10,0)&field=parid:string(25,0)&field=struct_typ:string(8,0)&field=year_built:integer(4,0)&field=no_stories:integer(4,0)&field=a_stories:integer(4,0)&field=b_stories:integer(4,0)&field=bsmt_type:string(15,0)&field="
-94.5391466614505,37.0890244046416,"7",P00019200440003008000,,"1966",,,,,,"5829",,,,,,,,,,,,"0",,,22405dda-61ce-40a6-bd66-36fdd45c6506,S0018079,61610,15300,76910,Selected features,"Point?crs=EPSG:4326&field=archetype:long(10,0)&field=parid:string(25,0)&field=struct_typ:string(8,0)&field=year_built:integer(4,0)&field=no_stories:integer(4,0)&field=a_stories:integer(4,0)&field=b_stories:integer(4,0)&field=bsmt_type:string(15,0)&field="
-94.4187929658059,37.0532732034097,"7",P00045022000000007000,,,,,,,,"4215",RES1,,,,,,,,,,,"1",,,41c77ad5-c5a2-4b8b-804c-b5734eb9c2ca,S0025517,118928,,118928,Selected features,"Point?crs=EPSG:4326&field=archetype:long(10,0)&field=parid:string(25,0)&field=struct_typ:string(8,0)&field=year_built:integer(4,0)&field=no_stories:integer(4,0)&field=a_stories:integer(4,0)&field=b_stories:integer(4,0)&field=bsmt_type:string(15,0)&field="
-94.4220728531525,37.0546993806359,"7",P00020501500000013000,,"1920",,,,,,"904",RES1,,,,,,,,,,,"1",,,ed0e9dbb-18f5-4aae-8c9f-3ebb12f7e62d,S0028449,41160,12150,53310,Selected features,"Point?crs=EPSG:4326&field=archetype:long(10,0)&field=parid:string(25,0)&field=struct_typ:string(8,0)&field=year_built:integer(4,0)&field=no_stories:integer(4,0)&field=a_stories:integer(4,0)&field=b_stories:integer(4,0)&field=bsmt_type:string(15,0)&field="
-94.5140922897796,37.0638143944832,"6",P00019501510034002000,,"1930",,,,,,"1225",,,,,,,,,,,,"0",,,e2d50604-27f6-4b20-b83e-f5a9f0a89c5e,S0004738,36710,21500,58210,Selected features,"Point?crs=EPSG:4326&field=archetype:long(10,0)&field=parid:string(25,0)&field=struct_typ:string(8,0)&field=year_built:integer(4,0)&field=no_stories:integer(4,0)&field=a_stories:integer(4,0)&field=b_stories:integer(4,0)&field=bsmt_type:string(15,0)&field="
-94.5338547500188,37.0628013599839,"6",P00019501610029003000,,"1930",,,,,,"1044",RES1,,,,,,,,,,,"1",,,9bb07af2-5299-4056-9da3-9620164ffc73,S0027265,28440,49840,78280,Selected features,"Point?crs=EPSG:4326&field=archetype:long(10,0)&field=parid:string(25,0)&field=struct_typ:string(8,0)&field=year_built:integer(4,0)&field=no_stories:integer(4,0)&field=a_stories:integer(4,0)&field=b_stories:integer(4,0)&field=bsmt_type:string(15,0)&field="
-94.4781093123603,37.0726822722258,"6",P00019101240014001000,,"1965",,,,,,"2865",,,,,,,,,,,,"0",,,30456b6d-00d5-4674-8201-14f9cf960d47,S0010679,65740,223130,288870,Selected features,"Point?crs=EPSG:4326&field=archetype:long(10,0)&field=parid:string(25,0)&field=struct_typ:string(8,0)&field=year_built:integer(4,0)&field=no_stories:integer(4,0)&field=a_stories:integer(4,0)&field=b_stories:integer(4,0)&field=bsmt_type:string(15,0)&field="
-94.4219912846723,37.0556873664352,"7",P00020501500000013000,,"1920",,,,,,"916",RES1,,,,,,,,,,,"1",,,ebe2c231-5290-443e-9de7-4c9a0e19b1db,S0028439,41160,12150,53310,Selected features,"Point?crs=EPSG:4326&field=archetype:long(10,0)&field=parid:string(25,0)&field=struct_typ:string(8,0)&field=year_built:integer(4,0)&field=no_stories:integer(4,0)&field=a_stories:integer(4,0)&field=b_stories:integer(4,0)&field=bsmt_type:string(15,0)&field="
-94.5221363605728,37.0620566086301,"6",P00019501540017001000,,"2002",,,,,,"4721",,,,,,,,,,,,"0",,,dd5a7651-5fde-4e1c-bd30-15b818661c5d,S0003849,469770,44420,514190,Selected features,"Point?crs=EPSG:4326&field=archetype:long(10,0)&field=parid:string(25,0)&field=struct_typ:string(8,0)&field=year_built:integer(4,0)&field=no_stories:integer(4,0)&field=a_stories:integer(4,0)&field=b_stories:integer(4,0)&field=bsmt_type:string(15,0)&field="
-94.5139189058078,37.0671493042074,"6",P00019501510018006000,,"1948",,,,,,"7056",,,,,,,,,,,,"0",,,a944cf06-7276-4192-a266-fcbd92647bfb,S0004342,108660,64500,173160,Selected features,"Point?crs=EPSG:4326&field=archetype:long(10,0)&field=parid:string(25,0)&field=struct_typ:string(8,0)&field=year_built:integer(4,0)&field=no_stories:integer(4,0)&field=a_stories:integer(4,0)&field=b_stories:integer(4,0)&field=bsmt_type:string(15,0)&field="
